metin,kategori,label,intent,intent_label,oncelik,oncelik_label,stil,kaynak
Kağıthane istasyonunda üçüncü ray izolatörü kırık sızdırma akımı var.,elektrik_enerji,1,fault_report,0,P1,0,standart,relabel:gemini
Levent istasyonunda acil aydınlatma bataryaları şarj olmuyor değiştirilecek.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
4. Levent istasyonunda dağıtım panosu içi sıcaklık alarmı verdi.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Seyrantepe istasyonunda bilet makineleri enerji kesintisinde kapanıyor UPS yok.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Göztepe istasyonunda peron duvarı aydınlatması su basması nedeniyle yanıp sönüyor.,altyapi_insaat,10,fault_report,0,P2,1,standart,relabel:gemini
Kozyatağı istasyonunda trafo soğutma fanları çalışmıyor ısınma riski.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Bostancı istasyonunda katener gerginlik cihazı blokaj yapmış hareketsiz.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Dudullu istasyonunda UPS çıkış voltajı dalgalı hassas cihazlar etkileniyor.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Ümraniye istasyonunda acil çıkış yolu aydınlatması regelasyon bozuk.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Çekmeköy istasyonunda jeneratör soğutma suyu sızdırıyor elektrik panosu tehlikede.,elektrik_enerji,1,fault_report,0,P1,0,standart,relabel:gemini
Sultanbeyli istasyonunda peron aydınlatma zamanlayıcısı yanlış saatlerde tetikleniyor.,elektrik_enerji,1,fault_report,0,P4,3,standart,relabel:gemini
Kozyatağı istasyonunda YM-03 katener kesici aparatı isolasyon hatası veriyor.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Dudullu istasyonunda PSD-08 peron kapı aydınlatmaları tamamen söndü.,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,standart,relabel:gemini
Çekmeköy istasyonunda BSO-02 bilet holü UPS cihazı arızalı.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Sultanbeyli istasyonunda YKS-01 yerli katener kontrol ünitesi hata veriyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Şişli istasyonunda kuzey giriş aydınlatması tamamen söndü.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Şişhane istasyonunda ana dağıtım panosunda sigorta atması oluştu.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Kadıköy istasyonunda peron üstü acil aydınlatması testte yanıp söndü.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Üsküdar istasyonunda 턴스타일 bölgesi aydınlatması gece vardiyasında kapanmıyor.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Şişli istasyonunda UPS bateri grubu düşük voltaj alarmı verdi.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Şişhane istasyonunda trafo odası soğutma fanı çalışmıyor.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Kadıköy istasyonunda güney çıkış rampası aydınlatması yarım kaldı.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Üsküdar istasyonunda jeneratör test çalışması otomatik başlatılmadı.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Şişhane istasyonunda katener gerginlik cihazı uyarı ışığı yanıyor.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Kadıköy istasyonunda akşam yoğun saatindevoltaj dalgalanması hissedildi.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
darussafaka istasyon genel aydinlatma yarisi calismiyor,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
osmanbey peron aydinlatmasi cok dim gozluk gerekiyor,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
aksaray aktarma kat aydinlatma panosu cizgisi cikti,elektrik_enerji,1,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
carsi peron katener gerilimi dusuk acil bakim,elektrik_enerji,1,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
dudullu uks jenrator baslama motoru calismiyo,elektrik_enerji,1,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
parseller istasyon aydinlatma armaturleri cok eski yanmiyor,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
ikitelli sanayi peron ucuncu ray kablolari erimis,elektrik_enerji,1,fault_report,0,P1,0,yazim_yanlisi,relabel:openrouter
istanbul havalimani uks trafo sicaklik alarmi acik,elektrik_enerji,1,fault_report,0,P1,0,yazim_yanlisi,relabel:openrouter
haciosman 2 peron aydinlatma fotosel hassasiyeti bozuldu,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
uzuncayir alt kat aydinlatma sondi yedek yok,elektrik_enerji,1,fault_report,0,P1,0,yazim_yanlisi,relabel:openrouter
uzuncayir kuzey giris jenerator calismiyo acil,elektrik_enerji,1,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
gayrettepe koridor ups batarya sarj tutmuyor,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
gayrettepe guney cikis panel sigorta atldi,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
yenikapi alt kat katener telleri kopuk,elektrik_enerji,1,fault_report,0,P1,0,yazim_yanlisi,relabel:openrouter
yenikapi kuzey giris trafo yag seviyesi dusuk,elektrik_enerji,1,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
esenler koridor aydinlatma armaturleri yanmiyor,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
esenler guney cikis elektrik kesintisi ups devreye girdi,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
aksaray alt kat yedek jenerator test basarisiz,elektrik_enerji,1,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
aksaray kuzey giris panel ariza alarm veriyor,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
sishane koridor aydinlatma fotosel calismiyo,elektrik_enerji,1,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Şirinevler peron aydınlatması söndü,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Esenler katener voltajı düşük,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Kirazlı jeneratör devreye girmedi,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Yenikapı UPS arıza verdi,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Aksaray trafo sigortası atıldı,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Levent üçüncü ray hatası,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Taksim giriş kat aydınlatması kapalı,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Kadıköy katener kesikliği tespit edildi,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Kartal enerji panosu ısınıyor,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Gayrettepe peron ışıkları yanıp sönüyor,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Kağıthane jeneratör yakıt pompası arızalı,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Atatürk Havalimanı UPS bataryası boş,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Otogar katener gerilimi normalüstü,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Mecidiyeköy trafoya su basması,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Hacıosman kablo kanalı yangını,elektrik_enerji,1,incident_report,1,P1,0,cok_kisa,relabel:openrouter
Yenibosna sigorta kutusu patladı,elektrik_enerji,1,incident_report,1,P1,0,cok_kisa,relabel:openrouter
Bakırköy yedek enerji devreye girmedi,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Bostancı peron acil ışıkları sönük,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Maltepe gişe katı aydınlatması yok,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Tavşantepe katener sarmal hasarı,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Üçüncü ray izolatörü kırık,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Enerji kesintisi peron 2,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
UPS alarmı çalıyor,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Jeneratör test başarısız,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Katener sökücü takıntı,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Peron ışık sensörü bozuk,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Ana enerji kesildi,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Yedek akım panosu arızalı,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Trafoya gövde koruması çalıştı,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Katener hatsızlık alarmı,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Üçüncü ray arka bileşen arızalı,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Peron ışığı tamamen kapalı,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Jeneratör şarj regulatörü bozuk,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
UPS bypas modunda,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Katener gerilimi 0 volt,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Trafoya diferansiyel koruma çalıştı,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Enerji kablosu kesti,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Giriş peron aydınlatması zayıf,elektrik_enerji,1,fault_report,0,P4,3,cok_kisa,relabel:openrouter
Levent UPS alarm veriyor,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Kadıköy üçüncü ray ısıtıcı arızalı,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Kartal elektrik panosu sigortası atıldı,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Maltepe gişe önü aydınlatması yanmıyor,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Bakırköy trafo yüklenme yüksek,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Otogar alt kat kablo yandı,elektrik_enerji,1,incident_report,1,P1,0,cok_kisa,relabel:openrouter
Topkapı kuzey çıkış aydınlatması zayıf,elektrik_enerji,1,fault_report,0,P4,3,cok_kisa,relabel:openrouter
Bağcılar yedek enerji test başarısız,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Vezneciler sigorta kutusu çürümüş,elektrik_enerji,1,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Kadıköy katener sökücü takıldı,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Kartal UPS bataryası değiştirildi,elektrik_enerji,1,fault_report,0,P4,3,cok_kisa,relabel:openrouter
Maltepe trafo yağ seviyesi düşük,elektrik_enerji,1,fault_report,0,P2,1,cok_kisa,relabel:openrouter
Kadıköy BSO-02 otomatında banknot iade hatası veriyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Taksim peron PID ekranlarında sefer saati donduruldu.,yolcu_hizmetleri,8,fault_report,0,P3,2,standart,relabel:openrouter
"Gayrettepe İstanbulkart okuyucularında bakiye okunmuyor, hata kodu 500.",elektronik_sistemler,4,fault_report,0,P2,1,standart,relabel:openrouter
"Merkez SCADA sunucusu yanıt vermiyor, istasyon verisi gelmiyor.",sinyalizasyon_haberlesme,3,fault_report,0,P1,0,standart,relabel:openrouter
Kirazlı gişe önü bilet otomatı kredi kartı reddediyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Mecidiyeköy koridor PID sistemde yenileme hatası veriyor.,sinyalizasyon_haberlesme,3,fault_report,0,P3,2,standart,relabel:openrouter
"Üsküdar BSO cihazında İstanbulkart okuyucu kilitlendi, servis gerekli.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Yenikapı aktarma geçitlerde tornelit açılma komutunu almadığı bildirildi.,elektronik_sistemler,4,fault_report,0,P2,1,standart,relabel:openrouter
"Otogar BSO hopper boş hatası veriyor, dolu olduğu halde.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Levent peron PID ekranları boş, veri akışı yok.",sinyalizasyon_haberlesme,3,fault_report,0,P3,2,standart,relabel:openrouter
4. Levent İstanbulkart okuyucu güncelleme sonrası tepki vermiyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Aksaray merkezi biletleme sunucusu zaman aşımı hatası veriyor.,elektronik_sistemler,4,fault_report,0,P2,1,standart,relabel:openrouter
"Hacıosman BSO-01 ekranında ""İşlem yapılamıyor"" mesajı sabit kaldı.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Kartal depo SCADA arayüzünde sinyalizasyon verileri donup kaldı.,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,standart,relabel:openrouter
Tavşantepe gişe bilet programı veritabanı bağlantı hatası veriyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Atatürk Oto Sanayi BSO cihazı banknot çekip iade etmiyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Sanayi Mahallesi peron PID ekranları İngilizce dilde kaldı, değişmiyor.",yolcu_hizmetleri,8,fault_report,0,P3,2,standart,relabel:openrouter
İTÜ-Ayazağa bilet otomatı parayla ödeme modunda donuyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Maslak koridor İstanbulkart okuyucu ""Kart geçersiz"" hatası veriyor sürekli.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Dortyol BSO-03 tuş takımını algılamıyor, işlem yapmıyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Vezneciler geçiş torneleri merkezi sistemden ""Kilitli"" modunda kaldı.",elektronik_sistemler,4,fault_report,0,P2,1,standart,relabel:openrouter
Haliç istasyonu PID sunucusu yeniden başlatma sonrası verisi gelmedi.,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,standart,relabel:openrouter
"Osmanbey bilet satış noktası ağ bağlantısı kesik, işlem yapmıyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Şişhane BSO cihazında parçalı para üstü ödeme hatası oluştu.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Seyrantepe peron bilgilendirme ekranları son sefer saatini gösteriyor.,yolcu_hizmetleri,8,fault_report,0,P3,2,standart,relabel:openrouter
Göztepe gişe otomatı NFC modülü sürücü hatası veriyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Kozyatağı İstanbulkart okuyucu sesli uyarı vermiyor, sadece hata kodu.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Bostancı BSO-04 ekranında ""Bakım modu"" yazıyor, çıkmıyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Maltepe merkezi sistemde bilet tarife tablosu güncellenmediği bildirildi.,elektronik_sistemler,4,fault_report,0,P2,1,standart,relabel:openrouter
"Dudullu depo SCADA istasyonu PLC verisi okumuyor, zaman aşımı.",sinyalizasyon_haberlesme,3,fault_report,0,P2,1,standart,relabel:openrouter
İMES bilet otomatı reçete basma komutuna yanıt vermiyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Parseller peron PID ekranı ""Veri yok"" ibaresi sabit duruyor.",sinyalizasyon_haberlesme,3,fault_report,0,P3,2,standart,relabel:openrouter
Mahmutbey aktarma katı PID sistemde dil seçeneği değişmiyor.,sinyalizasyon_haberlesme,3,fault_report,0,P3,2,standart,relabel:openrouter
Başakşehir Mérkez BSO cihazı yeni banknot serisini tanımıyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"İkitelli Sanayi geçiş torneleri açılma gecikmesi yaşıyor, kontrol ediliyor.",mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:openrouter
Ziya Gökalp BSO iade modülü kapak açma komutu vermiyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Olimpiyat PID ekranları sefer yönü ters gösteriyor, veri hatası.",yolcu_hizmetleri,8,fault_report,0,P3,2,standart,relabel:openrouter
"Yenibosna İstanbulkart okuyucu ""Sınırsız geçiş"" kartını tanımıyor, hata veriyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Ataköy merkezi biletleme veritabanı yedek alma hatası logarlandı.,elektronik_sistemler,4,fault_report,0,P4,3,standart,relabel:openrouter
Yamanevler BSO-05 otomatı iade çekmekte hata kodu 101 veriyor.,elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
Mecidiyeköy 2. peron PID ekranında sefer saati yanlış görüntüleniyor.,yolcu_hizmetleri,8,fault_report,0,P4,3,standart,relabel:openrouter
"Kartal kuzey giriş BSO-07 otomatı banknot çekmiyor, hata veriyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Şirinevler 1. peron İstanbulkart okuyucusu kart tanımıyor, geçiş açmıyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Şişli üst kat bilet otomatında iade işlemi tamamlanmıyor, para dönmüyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Kadıköy BSO-03 cihazında ekran dondu, tuşlara tepki vermiyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Üsküdar peron PID sunucusu yanıt vermiyor, boş ekran kalıyor.",sinyalizasyon_haberlesme,3,fault_report,0,P2,1,standart,relabel:openrouter
"Yenikapı aktarma İstanbulkart okuyucusunda bakiye yazmıyor, sıfır gösteriyor.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Aksaray BSO otomatı iade hopperı boş uyarısı veriyor, dolu iken.",elektronik_sistemler,4,fault_report,0,P3,2,standart,relabel:openrouter
"Topkapı SCADA arayüzünde sinyalizasyon verileri güncellenmiyor, donmuş durumda.",sinyalizasyon_haberlesme,3,fault_report,0,P2,1,standart,relabel:openrouter
Bağcılar peron PID ekranlarında yön bilgisi yanlış yön gösteriyor.,yolcu_hizmetleri,8,fault_report,0,P4,3,standart,relabel:openrouter
Merkezden sefer iptal komutu iletilmedi,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,devrik,relabel:openrouter
Yazılım izleme servisi yeniden başladı sistem aydınlandı,sinyalizasyon_haberlesme,3,fault_report,0,P3,2,devrik,relabel:openrouter
BSO-05 banknot tanımıyor hata kodu 12,elektronik_sistemler,4,fault_report,0,P3,2,devrik,relabel:openrouter
PID merkeziye bağlanmıyor veri akışı kesik,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,devrik,relabel:openrouter
Turnike İstanbulkart okumuyor ses çıkıyor,elektronik_sistemler,4,fault_report,0,P3,2,devrik,relabel:openrouter
Mobil uygulama hata veriyor QR geçersiz,elektronik_sistemler,4,fault_report,0,P3,2,devrik,relabel:openrouter
SCADA alarm paneli dondu yanıt yok,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,devrik,relabel:openrouter
Yolcu sayım sensörü veri göndermiyor,sinyalizasyon_haberlesme,3,fault_report,0,P3,2,devrik,relabel:openrouter
Giğe programı kilitlendi veritabanı bağlantısı yok,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,devrik,relabel:openrouter
Peron ekranı boş gösteriyor zaman doldu,sinyalizasyon_haberlesme,3,fault_report,0,P3,2,devrik,relabel:openrouter
atakoy bso 3 kart okumuyo hata 12,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
gayretepe turnike okuyucu dondu yolcu gecemiyor,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
levent pid ekranlari sefer saati guncelenmiyor,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
uzuncayir scada baglantisi kopmus veri gelmiyor merkez,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
uskudar bilet otomat banknot yutmuyor iade etmiyor,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
sisli mecidiyekoy mobil uygulama bilet alima kapali,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
kadikoy peron pid dondu onceki sefer kalmis,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
kartal bso 1 ekran siyah cursor titriyor,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
yenikapi turnike bolgesi okuyucu ses cikarmiyor,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
haciosman sunucu baglantisi zaman asimi hata 504,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
taksim bilet holu kiosk dokunmatik calismiyo,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
4 levent istasyonkart yazilimi guncelleme sonrasi hata,elektronik_sistemler,4,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
bogazici uni pid reklam dondu sefer yok,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
atasehir bso 2 kredi karti islem reddediyo,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
kozyatagi turnike kapisi acilmiyor kart gecerli,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
bostanci scada arayuzu donmus alarm gelmiyor,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
dudullu veritabani kilitli bilet satisi durdu,elektronik_sistemler,4,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
imam hatip mobil qr kod uretmiyor hata,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
atakoy personel kapisi okuyucu tanimlamiyor kart,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
gayrettepe bso 4 fis basmiyor kagit bitmis,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
levent pid yonlendirme yanlis istasyon gosteriyor,yolcu_hizmetleri,8,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
uzuncayir ag kesintisi otomatlar cevrimdisi kaldi,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
uskudar turnike 5 gecis onaylamiyor bekletiyor,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
sisli mecidiyekoy bso parayi aldi bilet vermedi,elektronik_sistemler,4,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
kadikoy scada sunucusu ping atmiyor ulasilmiyor,sinyalizasyon_haberlesme,3,fault_report,0,P2,1,yazim_yanlisi,relabel:openrouter
